useragent_string,browser_family,browser_version,operating_system,operating_system_version,device_family,is_mobile,is_tablet,is_touch_capable,is_pc,is_bot,overview
Mozilla/4.0 (compatible; Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; Acoo Browser 1.98.744; .NET CLR 3.5.30729); Windows NT 5.1; Trident/4.0),IE,8,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 8
Mozilla/4.0 (compatible; Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; GTB6; Acoo Browser; .NET CLR 1.1.4322; .NET CLR 2.0.50727); Windows NT 5.1; Trident/4.0; Maxthon; .NET CLR 2.0.50727; .NET CLR 1.1.4322; InfoPath.2),Maxthon,,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / Maxthon
Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; Acoo Browser; GTB6; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; InfoPath.1; .NET CLR 3.5.30729; .NET CLR 3.0.30618),IE,8,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 8
Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; Acoo Browser; GTB5; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; InfoPath.1; .NET CLR 3.5.30729; .NET CLR 3.0.30618),IE,8,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 8
Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; GTB6; Acoo Browser; .NET CLR 1.1.4322; .NET CLR 2.0.50727),IE,8,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 8
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/4.0; Acoo Browser; GTB5; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; InfoPath.1; .NET CLR 3.5.30729; .NET CLR 3.0.30618),IE,7,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 7
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; Acoo Browser; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.0.04506),IE,7,Windows Vista,,Other,False,False,False,True,False,PC / Windows Vista / IE 7
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; Acoo Browser; GTB5; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.0.04506),IE,7,Windows Vista,,Other,False,False,False,True,False,PC / Windows Vista / IE 7
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; Acoo Browser; GTB5; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; InfoPath.1; .NET CLR 3.5.30729; .NET CLR 3.0.30618),IE,7,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 7
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Acoo Browser; InfoPath.2; .NET CLR 2.0.50727; Alexa Toolbar),IE,7,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 7
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Acoo Browser; .NET CLR 2.0.50727; .NET CLR 1.1.4322),IE,7,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 7
Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Acoo Browser; .NET CLR 1.0.3705; .NET CLR 1.1.4322; .NET CLR 2.0.50727; FDM; .NET CLR 3.0.04506.30; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022; InfoPath.2),IE,7,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 7
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; Acoo Browser; .NET CLR 1.1.4322; .NET CLR 2.0.50727),IE,6,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 6
Mozilla/4.0 (compatible; MSIE 7.0; America Online Browser 1.1; Windows NT 5.1; (R1 1.5); .NET CLR 2.0.50727; InfoPath.1),IE,7,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 7
Mozilla/4.0 (compatible; MSIE 7.0; America Online Browser 1.1; rev1.5; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727),IE,7,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 7
Mozilla/4.0 (compatible; MSIE 7.0; America Online Browser 1.1; rev1.5; Windows NT 5.1; .NET CLR 1.1.4322),IE,7,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 7
Mozilla/4.0 (compatible; MSIE 7.0; America Online Browser 1.1; rev1.5; Windows NT 5.1; .NET CLR 1.0.3705; .NET CLR 1.1.4322; Media Center PC 4.0; InfoPath.1; .NET CLR 2.0.50727; Media Center PC 3.0; InfoPath.2),IE,7,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 7
Mozilla/4.0 (compatible; MSIE 7.0; America Online Browser 1.1; rev1.2; Windows NT 5.1; SV1; .NET CLR 1.1.4322),IE,7,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 7
Mozilla/4.0 (compatible; MSIE 6.0; America Online Browser 1.1; Windows NT 5.1; SV1; HbTools 4.7.0),IE,6,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 6
Mozilla/4.0 (compatible; MSIE 6.0; America Online Browser 1.1; Windows NT 5.1; SV1; FunWebProducts; .NET CLR 1.1.4322; InfoPath.1; HbTools 4.8.0),IE,6,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 6
Mozilla/4.0 (compatible; MSIE 6.0; America Online Browser 1.1; Windows NT 5.1; SV1; FunWebProducts; .NET CLR 1.0.3705; .NET CLR 1.1.4322; Media Center PC 3.1),IE,6,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 6
Mozilla/4.0 (compatible; MSIE 6.0; America Online Browser 1.1; Windows NT 5.1; SV1; .NET CLR 1.1.4322; HbTools 4.7.1),IE,6,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 6
Mozilla/4.0 (compatible; MSIE 6.0; America Online Browser 1.1; Windows NT 5.1; SV1; .NET CLR 1.1.4322),IE,6,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 6
Mozilla/4.0 (compatible; MSIE 6.0; America Online Browser 1.1; Windows NT 5.1; SV1; .NET CLR 1.0.3705; .NET CLR 1.1.4322; Media Center PC 3.1),IE,6,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 6
Mozilla/4.0 (compatible; MSIE 6.0; America Online Browser 1.1; Windows NT 5.1; SV1; .NET CLR 1.0.3705; .NET CLR 1.1.4322),IE,6,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 6
Mozilla/4.0 (compatible; MSIE 6.0; America Online Browser 1.1; Windows NT 5.1; SV1),IE,6,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 6
Mozilla/4.0 (compatible; MSIE 6.0; America Online Browser 1.1; Windows NT 5.1; FunWebProducts; (R1 1.5); HbTools 4.7.7),IE,6,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 6
Mozilla/4.0 (compatible; MSIE 6.0; America Online Browser 1.1; Windows NT 5.1; FunWebProducts),IE,6,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 6
Mozilla/4.0 (compatible; MSIE 6.0; America Online Browser 1.1; Windows NT 5.1),IE,6,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 6
Mozilla/4.0 (compatible; MSIE 6.0; America Online Browser 1.1; Windows NT 5.0),IE,6,Windows 2000,,Other,False,False,False,True,False,PC / Windows 2000 / IE 6
Mozilla/4.0 (compatible; MSIE 6.0; America Online Browser 1.1; Windows 98),IE,6,Windows 98,,Other,False,False,False,True,False,PC / Windows 98 / IE 6
Mozilla/4.0 (compatible; MSIE 6.0; America Online Browser 1.1; rev1.5; Windows NT 5.1; SV1; FunWebProducts; .NET CLR 1.1.4322),IE,6,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 6
Mozilla/4.0 (compatible; MSIE 6.0; America Online Browser 1.1; rev1.5; Windows NT 5.1; SV1; .NET CLR 1.1.4322; InfoPath.1),IE,6,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / IE 6
AmigaVoyager/3.2 (AmigaOS/MC680x0),Other,,Other,,Other,False,False,False,False,False,Other / Other / Other
AmigaVoyager/2.95 (compatible; MC680x0; AmigaOS; SV1),Other,,Other,,Other,False,False,False,False,False,Other / Other / Other
AmigaVoyager/2.95 (compatible; MC680x0; AmigaOS),Other,,Other,,Other,False,False,False,False,False,Other / Other / Other
Mozilla/5.0 (compatible; MSIE 9.0; AOL 9.7; AOLBuild 4343.19; Windows NT 6.1; WOW64; Trident/5.0; FunWebProducts),AOL,9.7.4343,Windows 7,,Other,False,False,False,True,False,PC / Windows 7 / AOL 9.7.4343
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.7; AOLBuild 4343.27; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729),AOL,9.7.4343,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.7.4343
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.7; AOLBuild 4343.21; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 3.0.04506.648; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; .NET4.0E),AOL,9.7.4343,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.7.4343
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.7; AOLBuild 4343.19; Windows NT 5.1; Trident/4.0; GTB7.2; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729),AOL,9.7.4343,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.7.4343
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.7; AOLBuild 4343.19; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 3.0.04506.648; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; .NET4.0E),AOL,9.7.4343,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.7.4343
Mozilla/4.0 (compatible; MSIE 7.0; AOL 9.7; AOLBuild 4343.19; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 3.0.04506.648; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; .NET4.0E),AOL,9.7.4343,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.7.4343
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.6; AOLBuild 4340.5004; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729),AOL,9.6.4340,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.6.4340
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.6; AOLBuild 4340.5001; Windows NT 5.1; Trident/4.0),AOL,9.6.4340,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.6.4340
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.6; AOLBuild 4340.5000; Windows NT 5.1; Trident/4.0; FunWebProducts),AOL,9.6.4340,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.6.4340
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.6; AOLBuild 4340.5000; Windows NT 5.1; Trident/4.0; .NET4.0C; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729),AOL,9.6.4340,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.6.4340
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.6; AOLBuild 4340.27; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729),AOL,9.6.4340,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.6.4340
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.6; AOLBuild 4340.27; Windows NT 5.1; Trident/4.0; .NET CLR 1.0.3705; .NET CLR 1.1.4322; Media Center PC 4.0; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2),AOL,9.6.4340,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.6.4340
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.6; AOLBuild 4340.17; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729),AOL,9.6.4340,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.6.4340
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.6; AOLBuild 4340.168; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; MS-RTC LM 8),AOL,9.6.4340,Windows 7,,Other,False,False,False,True,False,PC / Windows 7 / AOL 9.6.4340
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.6; AOLBuild 4340.168; Windows NT 5.1; Trident/4.0; GTB7.1; .NET CLR 1.0.3705; .NET CLR 1.1.4322; .NET CLR 3.0.04506.30; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET CLR 2.0.50727),AOL,9.6.4340,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.6.4340
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.6; AOLBuild 4340.130; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.30729; .NET CLR 3.0.30618),AOL,9.6.4340,Windows Vista,,Other,False,False,False,True,False,PC / Windows Vista / AOL 9.6.4340
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.6; AOLBuild 4340.130; Windows NT 5.1; Trident/4.0; FunWebProducts; GTB6.6; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; yie8),AOL,9.6.4340,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.6.4340
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.6; AOLBuild 4340.12; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0),AOL,9.6.4340,Windows 7,,Other,False,False,False,True,False,PC / Windows 7 / AOL 9.6.4340
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.6; AOLBuild 4340.12; Windows NT 5.1; Trident/4.0; GTB6.3),AOL,9.6.4340,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.6.4340
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.6; AOLBuild 4340.124; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0),AOL,9.6.4340,Windows 7,,Other,False,False,False,True,False,PC / Windows 7 / AOL 9.6.4340
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.6; AOLBuild 4340.122; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; MS-RTC LM 8),AOL,9.6.4340,Windows 7,,Other,False,False,False,True,False,PC / Windows 7 / AOL 9.6.4340
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.6; AOLBuild 4340.122; Windows NT 5.1; Trident/4.0; FunWebProducts),AOL,9.6.4340,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.6.4340
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.6; AOLBuild 4340.111; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 3.0.04506.648; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; .NET4.0E),AOL,9.6.4340,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.6.4340
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.6; AOLBuild 4340.110; Windows NT 5.1; Trident/4.0; .NET CLR 1.0.3705; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C),AOL,9.6.4340,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.6.4340
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.6; AOLBuild 4340.104; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.5.30729),AOL,9.6.4340,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.6.4340
Mozilla/4.0 (compatible; MSIE 7.0; AOL 9.6; AOLBuild 4340.128; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022),AOL,9.6.4340,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.6.4340
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.5; AOLBuild 4337.43; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.21022; .NET CLR 3.5.30729; .NET CLR 3.0.30618),AOL,9.5.4337,Windows Vista,,Other,False,False,False,True,False,PC / Windows Vista / AOL 9.5.4337
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.5; AOLBuild 4337.29; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.21022; .NET CLR 3.5.30729; .NET CLR 3.0.30618),AOL,9.5.4337,Windows Vista,,Other,False,False,False,True,False,PC / Windows Vista / AOL 9.5.4337
Mozilla/4.0 (compatible; MSIE 7.0; AOL 9.5; AOLBuild 4337.93; Windows NT 5.1; Trident/4.0; DigExt; .NET CLR 1.1.4322),AOL,9.5.4337,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.5.4337
Mozilla/4.0 (compatible; MSIE 7.0; AOL 9.5; AOLBuild 4337.89; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.0.04506),AOL,9.5.4337,Windows Vista,,Other,False,False,False,True,False,PC / Windows Vista / AOL 9.5.4337
Mozilla/4.0 (compatible; MSIE 7.0; AOL 9.5; AOLBuild 4337.81; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.30729; .NET CLR 3.0.30618),AOL,9.5.4337,Windows Vista,,Other,False,False,False,True,False,PC / Windows Vista / AOL 9.5.4337
Mozilla/4.0 (compatible; MSIE 7.0; AOL 9.5; AOLBuild 4337.81; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.30729; .NET CLR 3.0.30618) (Compatible;  ;  ; Trident/4.0; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET ,AOL,9.5.4337,Windows Vista,,Motorola  ,False,False,False,True,False,PC / Windows Vista / AOL 9.5.4337
Mozilla/4.0 (compatible; MSIE 7.0; AOL 9.5; AOLBuild 4337.81; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.30729; .NET CLR 3.0.30618),AOL,9.5.4337,Windows Vista,,Other,False,False,False,True,False,PC / Windows Vista / AOL 9.5.4337
Mozilla/4.0 (compatible; MSIE 7.0; AOL 9.5; AOLBuild 4337.80; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0),AOL,9.5.4337,Windows 7,,Other,False,False,False,True,False,PC / Windows 7 / AOL 9.5.4337
Mozilla/4.0 (compatible; MSIE 7.0; AOL 9.5; AOLBuild 4337.53; Windows NT 6.0; FunWebProducts; GTB6; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.0.04506; .NET CLR 1.1.4322),AOL,9.5.4337,Windows Vista,,Other,False,False,False,True,False,PC / Windows Vista / AOL 9.5.4337
Mozilla/4.0 (compatible; MSIE 7.0; AOL 9.5; AOLBuild 4337.43; Windows NT 6.0; WOW64; GTB5; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.30729; .NET CLR 3.0.30618),AOL,9.5.4337,Windows Vista,,Other,False,False,False,True,False,PC / Windows Vista / AOL 9.5.4337
Mozilla/4.0 (compatible; MSIE 7.0; AOL 9.5; AOLBuild 4337.43; Windows NT 5.1; .NET CLR 1.1.4322),AOL,9.5.4337,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.5.4337
Mozilla/4.0 (compatible; MSIE 7.0; AOL 9.5; AOLBuild 4337.43; Windows NT 5.1; .NET CLR 1.0.3705; .NET CLR 1.1.4322; .NET CLR 2.0.50727),AOL,9.5.4337,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.5.4337
Mozilla/4.0 (compatible; MSIE 7.0; AOL 9.5; AOLBuild 4337.42; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 3.0.04506.648; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729),AOL,9.5.4337,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.5.4337
Mozilla/4.0 (compatible; MSIE 7.0; AOL 9.5; AOLBuild 4337.40; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.30729; .NET CLR 3.0.30618),AOL,9.5.4337,Windows Vista,,Other,False,False,False,True,False,PC / Windows Vista / AOL 9.5.4337
Mozilla/4.0 (compatible; MSIE 7.0; AOL 9.5; AOLBuild 4337.40; Windows NT 6.0; FunWebProducts; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.0.04506; .NET CLR 1.1.4322),AOL,9.5.4337,Windows Vista,,Other,False,False,False,True,False,PC / Windows Vista / AOL 9.5.4337
Mozilla/4.0 (compatible; MSIE 7.0; AOL 9.5; AOLBuild 4337.40; Windows NT 5.1; Trident/4.0; GTB6; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET CLR 1.1.4322),AOL,9.5.4337,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.5.4337
Mozilla/4.0 (compatible; MSIE 7.0; AOL 9.5; AOLBuild 4337.40; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 1.1.4322),AOL,9.5.4337,Windows XP,,Other,False,False,False,True,False,PC / Windows XP / AOL 9.5.4337
Mozilla/4.0 (compatible; MSIE 7.0; AOL 9.5; AOLBuild 4337.36; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.0.30618; .NET CLR 3.5.30729),AOL,9.5.4337,Windows Vista,,Other,False,False,False,True,False,PC / Windows Vista / AOL 9.5.4337
Mozilla/4.0 (compatible; MSIE 7.0; AOL 9.5; AOLBuild 4337.36; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618; .NET CLR 1.1.4322),AOL,9.5.4337,Windows Vista,,Other,False,False,False,True,False,PC / Windows Vista / AOL 9.5.4337
Mozilla/4.0 (compatible; MSIE 7.0; AOL 9.5; AOLBuild 4337.36; Windows NT 6.0; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.5.30729; .NET CLR 3.0.30618),AOL,9.5.4337,Windows Vista,,Other,False,False,False,True,False,PC / Windows Vista / AOL 9.5.4337
Mozilla/5.0 (compatible; MSIE 9.0; AOL 9.1; AOLBuild 4334.5012; Windows NT 6.0; WOW64; Trident/5.0),AOL,9.1.4334,Windows Vista,,Other,False,False,False,True,False,PC / Windows Vista / AOL 9.1.4334
Mozilla/4.0 (compatible; MSIE 8.0; AOL 9.1; AOLBuild 4334.5011; Windows NT 6.1; WOW64; Trident/4.0; GTB7.2; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C),AOL,9.1.4334,Windows 7,,Other,False,False,False,True,False,PC / Windows 7 / AOL 9.1.4334
